caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_450BD0	0x00450C39	0x00450C38	30	eax	edx	ecx	edx	0	20h	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450C50	0x00450CDD	0x00450CDC	27	eax	edi	edx	ecx	eax	0					runtime/unresolved
sub_450C50	0x00450D78	0x00450D77	31	eax	eax	ecx	eax	edx	0					runtime/unresolved
sub_450C50	0x00450ECE	0x00450ECD	27	eax	eax	edx	eax	ecx	0					runtime/unresolved
sub_450C50	0x00450F81	0x00450F80	19	ebp	ebx	ecx	edx	ecx	0					runtime/unresolved
sub_450F90	0x00451052	0x00451051	52	ecx	0C8h	edx	ecx	edx	0					runtime/unresolved
sub_451100	0x0045113B	0x0045113A	18	ebx	esi	edx	ecx	ebp	edx					runtime/unresolved
sub_451100	0x0045119F	0x0045119E	19	ebx	esi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_451100	0x0045125B	0x0045125A	19	ebx	esi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4512B0	0x00451319	0x00451318	19	ebx	esi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4512B0	0x0045137C	0x0045137B	22	edx	esi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4512B0	0x004513C0	0x004513BF	19	ecx	eax	edx	ecx	14h	edx	0x00000014	0x0014	0x14	0	source header selects RLE/span or raw/+0x80
